Date,Amount,Target,Balance
28/06/2022,"-20.00","Transfer To Zhe dog CommBank App Lunch","+7488.69"
27/06/2022,"-13.17","Transfer To HGY CommBank App Uber","+7508.69"
27/06/2022,"-50.00","PORT MELBOURNE GO KA PORT MELBOURNVICAU","+7521.86"
27/06/2022,"-18.80","Transfer To Zhe dog CommBank App __","+7571.86"
25/06/2022,"+8.00","Transfer From YUANZHE WANG Savings","+7590.66"
25/06/2022,"+28.00","Transfer From GAOYUAN HAO CREDIT TO ACCOUNT","+7582.66"
25/06/2022,"-21.20","UBER *TRIP Sydney AU AUS Card xx5767 Value Date: 23/06/2022","+7554.66"
25/06/2022,"-2.77","NSW TRAINS KINGSTON AC AUS Card xx5767 Value Date: 22/06/2022","+7575.86"
24/06/2022,"-13.50","TheGamesCapital Canberra AC AUS Card xx5767 Value Date: 21/06/2022","+7578.63"
24/06/2022,"-19.64","UBER *TRIP Sydney AU AUS Card xx5767 Value Date: 22/06/2022","+7592.13"
24/06/2022,"-20.24","UBER *TRIP Sydney AU AUS Card xx5767 Value Date: 22/06/2022","+7611.77"
23/06/2022,"-37.45","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 21/06/2022","+7632.01"
23/06/2022,"-8.85","MR YUM* DON JAPANESE COLLINGWOOD VI AUS Card xx5767 Value Date: 21/06/2022","+7669.46"
23/06/2022,"-23.90","MR YUM* DON JAPANESE COLLINGWOOD VI AUS Card xx5767 Value Date: 21/06/2022","+7678.31"
23/06/2022,"-30.00","TELSTRA PREPAID MELBOURNE VI AUS Card xx5767 Value Date: 21/06/2022","+7702.21"
23/06/2022,"-9.75","COLES 4787 CANBERRA AU AUS Card xx5767 Value Date: 21/06/2022","+7732.21"
22/06/2022,"-118.00","JB HI FI BELCONNEN BELCONNEN AC AUS Card xx5767 Value Date: 19/06/2022","+7741.96"
22/06/2022,"-160.00","5124-RailNinja Sliema ML MLT Card xx5767 AUD 160.00 Value Date: 20/06/2022","+7859.96"
22/06/2022,"-137.00","ACTGOV PAYMENT CMTEDD PHILLIP AUS Card xx5767 Value Date: 18/06/2022","+8019.96"
21/06/2022,"-163.43","OFFICEWORKS 0262 BRADDON AU AUS Card xx5767 Value Date: 17/06/2022","+8156.96"
21/06/2022,"-1.04","International Transaction Fee Value Date: 17/06/2022","+8320.39"
21/06/2022,"-34.76","WWW.MYMUSICSHEET.COM CHIYUUOUKU TO JPN Card xx5767 USD 24.00 Value Date: 18/06/2022","+8321.43"
21/06/2022,"-20.39","COLES 0779 BELCONNEN AU AUS Card xx5767 Value Date: 19/06/2022","+8356.19"
21/06/2022,"-439.85","Revolution CD Belconn Belconnen AC AUS Card xx5767 Value Date: 19/06/2022","+8376.58"
17/06/2022,"-17.00","eBay O*22-08748-01630 Sydney AU AUS Card xx5767 Value Date: 15/06/2022","+8816.43"
17/06/2022,"-39.95","Mojang AB Stockholm SW SWE Card xx5767 AUD 39.95 Value Date: 15/06/2022","+8833.43"
16/06/2022,"-2.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 14/06/2022","+8873.38"
16/06/2022,"-16.99","Netflix.com Melbourne VI AUS Card xx5767 Value Date: 15/06/2022","+8876.37"
15/06/2022,"-5.89","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 13/06/2022","+8893.36"
15/06/2022,"-5.89","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 12/06/2022","+8899.25"
15/06/2022,"-4.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 12/06/2022","+8905.14"
15/06/2022,"-10.19","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 11/06/2022","+8910.13"
14/06/2022,"-2.68","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 10/06/2022","+8920.32"
11/06/2022,"-3.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 09/06/2022","+8923.00"
11/06/2022,"-20.90","UNIVERSITY PHARMACY ACTON AC AUS Card xx5767 Value Date: 09/06/2022","+8926.99"
11/06/2022,"-5.10","CRAFT BEANS CANBERRA AC AUS Card xx5767 Value Date: 09/06/2022","+8947.89"
11/06/2022,"-4.50","CRAFT BEANS CANBERRA AC AUS Card xx5767 Value Date: 09/06/2022","+8952.99"
09/06/2022,"-4.98","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 07/06/2022","+8957.49"
08/06/2022,"-29.48","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 04/06/2022","+8962.47"
07/06/2022,"-11.90","S SMITH ACTON AC AUS Card xx5767 Value Date: 02/06/2022","+8991.95"
07/06/2022,"-11.90","S SMITH ACTON AC AUS Card xx5767 Value Date: 02/06/2022","+9003.85"
07/06/2022,"-20.65","MR YUM* DON JAPANESE COLLINGWOOD VI AUS Card xx5767 Value Date: 04/06/2022","+9015.75"
04/06/2022,"-33.10","Transfer To Joe CommBank App __","+9036.40"
03/06/2022,"-4.50","COCA COLA AMATIL Acton AUS Card xx5767 Value Date: 01/06/2022","+9069.50"
02/06/2022,"-16.89","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 31/05/2022","+9074.00"
01/06/2022,"-7.97","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 30/05/2022","+9090.89"
31/05/2022,"-14.44","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 27/05/2022","+9098.86"
31/05/2022,"-99.00","TAX FILE NUMBER ONLINE MAROUBRA NS AUS Card xx5767 Value Date: 27/05/2022","+9113.30"
26/05/2022,"-16.66","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 24/05/2022","+9212.30"
26/05/2022,"-30.00","TELSTRA PREPAID MELBOURNE VI AUS Card xx5767 Value Date: 24/05/2022","+9228.96"
25/05/2022,"-17.09","MR YUM* DON JAPANESE COLLINGWOOD VI AUS Card xx5767 Value Date: 23/05/2022","+9258.96"
25/05/2022,"-13.47","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 23/05/2022","+9276.05"
24/05/2022,"-44.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 20/05/2022","+9289.52"
24/05/2022,"-6.00","SQ *TIKKA STAND FOOD Kingston AU AUS Card xx5767 Value Date: 21/05/2022","+9334.51"
24/05/2022,"-4.50","SQ *BLACK MAGIC COFFE Kingston AU AUS Card xx5767 Value Date: 21/05/2022","+9340.51"
24/05/2022,"-84.40","eBay O*13-08656-94791 Sydney AU AUS Card xx5767 Value Date: 22/05/2022","+9345.01"
21/05/2022,"-50.00","Transfer To ZZL CommBank App __","+9429.41"
20/05/2022,"-6.00","CAMPUS BAKERY ACTON AU Card xx5767","+9479.41"
20/05/2022,"-11.30","SQ *URBAN BY ASIAN TIG Acton AU","+9485.41"
20/05/2022,"-66.45","ANU - Harry Hartog Acton AU","+9496.71"
20/05/2022,"-99.00","ANU - Harry Hartog Acton AU","+9563.16"
20/05/2022,"-7.67","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 18/05/2022","+9662.16"
20/05/2022,"-50.98","eBay O*16-08641-54704 Sydney AU AUS Card xx5767 Value Date: 18/05/2022","+9669.83"
18/05/2022,"-17.59","MR YUM* DON JAPANESE COLLINGWOOD VI AUS Card xx5767 Value Date: 16/05/2022","+9720.81"
18/05/2022,"-8.91","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 15/05/2022","+9738.40"
17/05/2022,"-54.99","SQ *PARSA CYCLES Acton AU AUS Card xx5767 Value Date: 13/05/2022","+9747.31"
17/05/2022,"-16.99","NETFLIX.COM Melbourne AU AUS Card xx5767 Value Date: 15/05/2022","+9802.30"
12/05/2022,"-10.11","QT CANBERRA CANBERRA AU Card xx5767","+9819.29"
12/05/2022,"-18.69","SQ *DON JAPANESE REST Canberra AU AUS Card xx5767 Value Date: 09/05/2022","+9829.40"
11/05/2022,"-8.50","CAMPUS BAKERY ACTON AU Card xx5767","+9848.09"
11/05/2022,"-6.74","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 08/05/2022","+9856.59"
10/05/2022,"-7.59","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 06/05/2022","+9863.33"
10/05/2022,"-33.50","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 07/05/2022","+9870.92"
07/05/2022,"-130.00","EB *John XXIII Ball 20 801-413-7200 VI AUS Card xx5767 Value Date: 05/05/2022","+9904.42"
07/05/2022,"-13.89","eBay O*07-08591-52362 Sydney AU AUS Card xx5767 Value Date: 05/05/2022","+10034.42"
06/05/2022,"-50.00","SQ *PARSA CYCLES Acton AU AUS Card xx5767 Value Date: 03/05/2022","+10048.31"
04/05/2022,"-7.18","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 01/05/2022","+10098.31"
03/05/2022,"-155.99","Transfer To Panda Remit CommBank App Transfer for business","+10105.49"
02/05/2022,"-26.60","Transfer To Jack 2100 Teamate CommBank App Lunch","+10261.48"
30/04/2022,"-84.99","SQ *PARSA CYCLES Acton AU AUS Card xx5767 Value Date: 27/04/2022","+10288.08"
29/04/2022,"-11.51","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 27/04/2022","+10373.07"
29/04/2022,"-202.87","SQ *PARSA CYCLES Canberra AU AUS Card xx5767 Value Date: 26/04/2022","+10384.58"
29/04/2022,"-29.99","SQ *PARSA CYCLES Acton AU AUS Card xx5767 Value Date: 26/04/2022","+10587.45"
28/04/2022,"-30.00","TELSTRA PREPAID MELBOURNE VI AUS Card xx5767 Value Date: 26/04/2022","+10617.44"
27/04/2022,"-82.70","eBay O*03-08541-47542 Sydney AU AUS Card xx5767 Value Date: 22/04/2022","+10647.44"
27/04/2022,"-9.50","Coffee Lab ANU ACTON AC AUS Card xx5767 Value Date: 24/04/2022","+10730.14"
27/04/2022,"-5.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 24/04/2022","+10739.64"
22/04/2022,"-10.90","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 20/04/2022","+10745.63"
22/04/2022,"-70.00","JOHN XXIII COLLEGE ACTON AUS Card xx5767 Value Date: 20/04/2022","+10756.53"
21/04/2022,"+30.50","Return eBay O*13-08512-40300 Sydney AU AUS Card xx5767 Value Date: 19/04/2022","+10826.53"
20/04/2022,"-16.99","NETFLIX.COM Melbourne AU AUS Card xx5767 Value Date: 15/04/2022","+10796.03"
20/04/2022,"-30.50","eBay O*13-08512-40300 Sydney AU AUS Card xx5767 Value Date: 15/04/2022","+10813.02"
20/04/2022,"-24.99","GOOGLE*YOUTUBE VIDEOS SYDNEY AU AUS Card xx5767 Value Date: 15/04/2022","+10843.52"
20/04/2022,"-40.67","OFFICEWORKS 0262 BRADDON AU AUS Card xx5767 Value Date: 16/04/2022","+10868.51"
20/04/2022,"-8.95","eBay O*19-08519-92044 Sydney AU AUS Card xx5767 Value Date: 18/04/2022","+10909.18"
20/04/2022,"-12.70","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 18/04/2022","+10918.13"
20/04/2022,"-6.64","International Transaction Fee Value Date: 18/04/2022","+10930.83"
20/04/2022,"-221.49","eBay O*24-08534-63231 San Jose CA USA Card xx5767 USD 163.71 Value Date: 18/04/2022","+10937.47"
20/04/2022,"-6.98","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 16/04/2022","+11158.96"
16/04/2022,"-6.00","RICE&NORI CANBERRA AU","+11165.94"
13/04/2022,"-7.14","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 11/04/2022","+11171.94"
13/04/2022,"-22.05","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 10/04/2022","+11179.08"
12/04/2022,"-11.56","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 08/04/2022","+11201.13"
08/04/2022,"-12.89","eBay O*21-08473-15947 Sydney AU AUS Card xx5767 Value Date: 06/04/2022","+11212.69"
08/04/2022,"-4.99","eBay O*20-08473-42050 Sydney AU AUS Card xx5767 Value Date: 06/04/2022","+11225.58"
06/04/2022,"-2.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 04/04/2022","+11230.57"
06/04/2022,"-18.39","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 02/04/2022","+11233.56"
05/04/2022,"-10.18","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 01/04/2022","+11251.95"
05/04/2022,"-58.00","BIG W 0122 CANBERRA AC AUS Card xx5767 Value Date: 02/04/2022","+11262.13"
05/04/2022,"-14.03","MR YUM* DON JAPANESE COLLINGWOOD VI AUS Card xx5767 Value Date: 02/04/2022","+11320.13"
05/04/2022,"-13.50","COLES 4787 CANBERRA AU AUS Card xx5767 Value Date: 02/04/2022","+11334.16"
05/04/2022,"-34.95","eBay O*11-08459-64314 Sydney AU AUS Card xx5767 Value Date: 02/04/2022","+11347.66"
04/04/2022,"-190.00","NUAN CANG PTY LTD KINGSTON AU Card xx5767","+11382.61"
02/04/2022,"-9.00","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 31/03/2022","+11572.61"
01/04/2022,"+985.00","YIN HUA. REF 2022040100016428 BSB062903","+11581.61"
01/04/2022,"+9985.00","YIN HUA. REF 2022040100002864","+10596.61"
01/04/2022,"-3.00","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 30/03/2022","+611.61"
01/04/2022,"-30.00","TELSTRA PREPAID MELBOURNE VI AUS Card xx5767 Value Date: 30/03/2022","+614.61"
01/04/2022,"-8.95","eBay O*17-08444-11400 Sydney AU AUS Card xx5767 Value Date: 30/03/2022","+644.61"
31/03/2022,"+600.00","CASH DEPOSIT CBA ATM AUST NAT UNI A ACT 290301 AUS","+653.56"
31/03/2022,"-10.70","eBay O*07-08446-11756 Sydney AU AUS Card xx5767 Value Date: 30/03/2022","+53.56"
30/03/2022,"-24.06","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 28/03/2022","+64.26"
30/03/2022,"-7.00","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 28/03/2022","+88.32"
30/03/2022,"-14.25","eBay O*17-08435-61596 Sydney AU AUS Card xx5767 Value Date: 28/03/2022","+95.32"
30/03/2022,"-7.18","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 26/03/2022","+109.57"
30/03/2022,"-16.99","eBay O*26-08429-39122 Sydney AU AUS Card xx5767 Value Date: 27/03/2022","+116.75"
29/03/2022,"-4.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 25/03/2022","+133.74"
29/03/2022,"-100.00","ANU SPORT AND RECREA AUSTRALIAN NA AUS Card xx5767 Value Date: 26/03/2022","+138.73"
28/03/2022,"-15.02","LOCAL FAVOUR PTY LTD CANBERRA AU Card xx5767","+238.73"
25/03/2022,"-21.35","eBay O*03-08419-61218 Sydney AU AUS Card xx5767 Value Date: 23/03/2022","+253.75"
24/03/2022,"+150.00","CASH DEPOSIT CBA ATM AUST NAT UNI A ACT 290301 AUS","+275.10"
24/03/2022,"-27.45","Blizzard Entertainment Schiphol-Rijk NL NLD Card xx5767 AUD 27.45 Value Date: 22/03/2022","+125.10"
23/03/2022,"-12.65","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 19/03/2022","+152.55"
23/03/2022,"-89.00","eBay O*21-08401-00044 Sydney AU AUS Card xx5767 Value Date: 20/03/2022","+165.20"
23/03/2022,"-28.80","eBay O*05-08405-68206 Sydney AU AUS Card xx5767 Value Date: 20/03/2022","+254.20"
22/03/2022,"-17.00","PADDLE.NET*GBLDELIGHT London GBR Card xx5767 AUD 17.00 Value Date: 19/03/2022","+283.00"
19/03/2022,"+300.00","CASH DEPOSIT CBA ATM AUST NAT UNI A ACT 290301 AUS","+300.00"
